2026-08-19 17:34:00,000 [INFO] Bat dau thu thap du lieu moi 30s cho target(s): google. Ghi vao 'network_quality_data1.csv'. Nhan Ctrl+C de dung.
2026-08-19 17:34:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:34:00+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.667, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 42.111, 'tcp_connect_ms': 62.885, 'tls_handshake_ms': 103.483, 'ttfb_ms': 176.325, 'http_latency_ms': 512.97, 'http_status_code': 200}
2026-08-19 17:39:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:39:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 36.455, 'tcp_connect_ms': 57.27, 'tls_handshake_ms': 94.353, 'ttfb_ms': 160.103, 'http_latency_ms': 461.223, 'http_status_code': 200}
2026-08-19 17:40:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:40:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 33.955, 'tcp_connect_ms': 63.46, 'tls_handshake_ms': 92.9, 'ttfb_ms': 198.242, 'http_latency_ms': 525.955, 'http_status_code': 200}
2026-08-19 17:40:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:40:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 44.346, 'tcp_connect_ms': 57.839, 'tls_handshake_ms': 82.184, 'ttfb_ms': 164.701, 'http_latency_ms': 455.772, 'http_status_code': 200}
2026-08-19 17:41:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:41:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 29.444, 'tcp_connect_ms': 47.703, 'tls_handshake_ms': 76.303, 'ttfb_ms': 151.013, 'http_latency_ms': 411.732, 'http_status_code': 200}
2026-08-19 17:41:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:41:30+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.333, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 30.046, 'tcp_connect_ms': 67.527, 'tls_handshake_ms': 80.55, 'ttfb_ms': 163.708, 'http_latency_ms': 459.521, 'http_status_code': 200}
2026-08-19 17:42:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:42:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 41.257, 'tcp_connect_ms': 56.117, 'tls_handshake_ms': 84.535, 'ttfb_ms': 176.107, 'http_latency_ms': 472.264, 'http_status_code': 200}
2026-08-19 17:42:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:42:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 24.516, 'tcp_connect_ms': 56.994, 'tls_handshake_ms': 83.714, 'ttfb_ms': 167.558, 'http_latency_ms': 461.934, 'http_status_code': 200}
2026-08-19 17:43:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:43:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 31.475, 'tcp_connect_ms': 52.238, 'tls_handshake_ms': 81.155, 'ttfb_ms': 171.051, 'http_latency_ms': 451.386, 'http_status_code': 200}
2026-08-19 17:43:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:43:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 29.755, 'tcp_connect_ms': 57.597, 'tls_handshake_ms': 84.661, 'ttfb_ms': 165.678, 'http_latency_ms': 465.642, 'http_status_code': 200}
2026-08-19 17:44:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:44:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.364, 'tcp_connect_ms': 59.817, 'tls_handshake_ms': 93.901, 'ttfb_ms': 178.114, 'http_latency_ms': 491.859, 'http_status_code': 200}
2026-08-19 17:44:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:44:30+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.333, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 39.888, 'tcp_connect_ms': 61.551, 'tls_handshake_ms': 88.478, 'ttfb_ms': 180.038, 'http_latency_ms': 499.505, 'http_status_code': 200}
2026-08-19 17:45:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:45:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 41.212, 'tcp_connect_ms': 60.872, 'tls_handshake_ms': 89.231, 'ttfb_ms': 206.332, 'http_latency_ms': 533.675, 'http_status_code': 200}
2026-08-19 17:45:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:45:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 28.377, 'tcp_connect_ms': 56.488, 'tls_handshake_ms': 76.216, 'ttfb_ms': 149.517, 'http_latency_ms': 420.353, 'http_status_code': 200}
2026-08-19 17:46:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:46:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 23.622, 'tcp_connect_ms': 61.358, 'tls_handshake_ms': 90.075, 'ttfb_ms': 228.546, 'http_latency_ms': 552.021, 'http_status_code': 200}
2026-08-19 17:46:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:46:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 22.02, 'tcp_connect_ms': 45.154, 'tls_handshake_ms': 74.302, 'ttfb_ms': 164.435, 'http_latency_ms': 416.13, 'http_status_code': 200}
2026-08-19 17:47:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:47:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 43.193, 'tcp_connect_ms': 56.453, 'tls_handshake_ms': 86.911, 'ttfb_ms': 168.232, 'http_latency_ms': 468.273, 'http_status_code': 200}
2026-08-19 17:47:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:47:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 41.988, 'tcp_connect_ms': 57.992, 'tls_handshake_ms': 86.446, 'ttfb_ms': 165.1, 'http_latency_ms': 465.286, 'http_status_code': 200}
2026-08-19 17:48:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:48:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.968, 'tcp_connect_ms': 59.994, 'tls_handshake_ms': 88.774, 'ttfb_ms': 174.325, 'http_latency_ms': 491.202, 'http_status_code': 200}
2026-08-19 17:48:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:48:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 42.355, 'tcp_connect_ms': 57.296, 'tls_handshake_ms': 88.513, 'ttfb_ms': 170.626, 'http_latency_ms': 478.387, 'http_status_code': 200}
2026-08-19 17:49:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:49:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 26.42, 'tcp_connect_ms': 52.756, 'tls_handshake_ms': 86.467, 'ttfb_ms': 152.846, 'http_latency_ms': 433.155, 'http_status_code': 200}
2026-08-19 17:49:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:49:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 26.166, 'tcp_connect_ms': 54.748, 'tls_handshake_ms': 90.133, 'ttfb_ms': 172.653, 'http_latency_ms': 465.89, 'http_status_code': 200}
2026-08-19 17:50:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:50:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 22.434, 'tcp_connect_ms': 51.671, 'tls_handshake_ms': 80.128, 'ttfb_ms': 162.961, 'http_latency_ms': 442.438, 'http_status_code': 200}
2026-08-19 17:50:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:50:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 39.538, 'tcp_connect_ms': 62.251, 'tls_handshake_ms': 83.476, 'ttfb_ms': 162.261, 'http_latency_ms': 464.737, 'http_status_code': 200}
2026-08-19 17:51:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:51:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 39.266, 'tcp_connect_ms': 57.103, 'tls_handshake_ms': 87.544, 'ttfb_ms': 168.85, 'http_latency_ms': 477.955, 'http_status_code': 200}
2026-08-19 17:51:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:51:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 19.374, 'tcp_connect_ms': 59.074, 'tls_handshake_ms': 86.385, 'ttfb_ms': 170.243, 'http_latency_ms': 474.724, 'http_status_code': 200}
2026-08-19 17:52:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:52:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 27.91, 'tcp_connect_ms': 51.506, 'tls_handshake_ms': 80.493, 'ttfb_ms': 162.95, 'http_latency_ms': 443.833, 'http_status_code': 200}
2026-08-19 17:52:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:52:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 26.222, 'tcp_connect_ms': 72.613, 'tls_handshake_ms': 92.26, 'ttfb_ms': 179.567, 'http_latency_ms': 526.399, 'http_status_code': 200}
2026-08-19 17:53:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:53:00+07:00', 'target_id': 'google', 'rtt_ms': 43.25, 'rtt_min_ms': 43.0, 'rtt_max_ms': 44.0, 'jitter_ms': 0.333, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 23.818, 'tcp_connect_ms': 55.849, 'tls_handshake_ms': 89.908, 'ttfb_ms': 181.021, 'http_latency_ms': 487.677, 'http_status_code': 200}
2026-08-19 17:53:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:53:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 23.733, 'tcp_connect_ms': 72.07, 'tls_handshake_ms': 96.213, 'ttfb_ms': 179.996, 'http_latency_ms': 524.422, 'http_status_code': 200}
2026-08-19 17:54:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:54:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 34.622, 'tcp_connect_ms': 53.241, 'tls_handshake_ms': 78.183, 'ttfb_ms': 150.819, 'http_latency_ms': 415.805, 'http_status_code': 200}
2026-08-19 17:54:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:54:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.642, 'tcp_connect_ms': 64.698, 'tls_handshake_ms': 94.278, 'ttfb_ms': 167.425, 'http_latency_ms': 481.777, 'http_status_code': 200}
2026-08-19 17:55:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:55:00+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.667, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 30.534, 'tcp_connect_ms': 62.986, 'tls_handshake_ms': 94.348, 'ttfb_ms': 182.42, 'http_latency_ms': 516.42, 'http_status_code': 200}
2026-08-19 17:55:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:55:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 26.047, 'tcp_connect_ms': 65.049, 'tls_handshake_ms': 82.427, 'ttfb_ms': 171.778, 'http_latency_ms': 475.693, 'http_status_code': 200}
2026-08-19 17:56:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:56:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.896, 'tcp_connect_ms': 55.855, 'tls_handshake_ms': 84.035, 'ttfb_ms': 165.418, 'http_latency_ms': 460.3, 'http_status_code': 200}
2026-08-19 17:56:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:56:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.426, 'tcp_connect_ms': 67.853, 'tls_handshake_ms': 87.415, 'ttfb_ms': 171.706, 'http_latency_ms': 482.712, 'http_status_code': 200}
2026-08-19 17:57:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:57:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 35.778, 'tcp_connect_ms': 63.007, 'tls_handshake_ms': 79.991, 'ttfb_ms': 188.238, 'http_latency_ms': 480.36, 'http_status_code': 200}
2026-08-19 17:57:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:57:30+07:00', 'target_id': 'google', 'rtt_ms': 42.75, 'rtt_min_ms': 42.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.333, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 35.264, 'tcp_connect_ms': 62.363, 'tls_handshake_ms': 82.823, 'ttfb_ms': 164.742, 'http_latency_ms': 460.883, 'http_status_code': 200}
2026-08-19 17:58:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:58:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 29.642, 'tcp_connect_ms': 56.981, 'tls_handshake_ms': 73.006, 'ttfb_ms': 143.561, 'http_latency_ms': 400.615, 'http_status_code': 200}
2026-08-19 17:58:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:58:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.589, 'tcp_connect_ms': 65.631, 'tls_handshake_ms': 87.878, 'ttfb_ms': 170.593, 'http_latency_ms': 480.267, 'http_status_code': 200}
2026-08-19 17:59:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:59:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 41.366, 'tcp_connect_ms': 62.288, 'tls_handshake_ms': 77.043, 'ttfb_ms': 152.983, 'http_latency_ms': 429.78, 'http_status_code': 200}
2026-08-19 17:59:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T17:59:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 21.534, 'tcp_connect_ms': 63.299, 'tls_handshake_ms': 90.742, 'ttfb_ms': 176.56, 'http_latency_ms': 509.829, 'http_status_code': 200}
2026-08-19 18:00:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T18:00:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 40.718, 'tcp_connect_ms': 63.417, 'tls_handshake_ms': 91.77, 'ttfb_ms': 180.369, 'http_latency_ms': 519.546, 'http_status_code': 200}
2026-08-19 18:00:30,000 [INFO] Da ghi: {'timestamp': '2026-08-19T18:00:30+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 27.402, 'tcp_connect_ms': 60.049, 'tls_handshake_ms': 83.4, 'ttfb_ms': 181.171, 'http_latency_ms': 485.217, 'http_status_code': 200}
2026-08-19 18:01:00,000 [INFO] Da ghi: {'timestamp': '2026-08-19T18:01:00+07:00', 'target_id': 'google', 'rtt_ms': 43.0, 'rtt_min_ms': 43.0, 'rtt_max_ms': 43.0, 'jitter_ms': 0.0, 'n_sent': 4, 'n_received': 4, 'loss_rate': 0.0, 'dns_latency_ms': 26.152, 'tcp_connect_ms': 71.088, 'tls_handshake_ms': 96.631, 'ttfb_ms': 181.477, 'http_latency_ms': 512.738, 'http_status_code': 200}
